name,price,rating,reviews,url
N/A,N/A,3.9,273,https://www.amazon.com/Tactical-Survival-Military-Pedometer-Calories/dp/B09MPJPCDJ/ref=sr_1_49
Carbon impact,N/A,4.1,436,https://www.amazon.com/AMAZTIM-Positioning-Waterproof-Extra-Long-Compatible/dp/B0CQVPJVYH/ref=sr_1_50
N/A,37.,4.6,646,https://www.amazon.com/Timex-Mens-Pride-40mm-Watch/dp/B09WJKJGHC/ref=sr_1_51
N/A,N/A,4.0,"3,299",https://www.amazon.com/Rgthuhu-Military-Tactical-Smartwatch-Waterproof/dp/B0BW47XT5H/ref=sr_1_52
N/A,N/A,4.2,220,https://www.amazon.com/OLEVS-Chronograph-Waterproof-Silicone-Multifunction/dp/B0BPHPRD7K/ref=sr_1_53
N/A,19.,4.6,"6,024",https://www.amazon.com/Anne-Klein-AK-2706CHBK-Gold-Tone/dp/B01H1UHV5S/ref=sr_1_54
N/A,N/A,4.4,40,https://www.amazon.com/FOXBOX-Flashlight-Battery-Military-Smartwatch/dp/B0DRVHXF64/ref=sr_1_55
N/A,N/A,4.4,403,https://www.amazon.com/BOFAN-Watches-Stainless-Expansion-Waterproof-%EF%BC%886-10in-6-89in%EF%BC%89/dp/B0D1TJFSKG/ref=sr_1_56
N/A,N/A,4.2,"1,819",https://www.amazon.com/Chronograph-Stainless-Multi-Function-Tourbillon-Waterproof/dp/B0B1ML3TQ1/ref=sr_1_57
N/A,N/A,4.3,"2,625",https://www.amazon.com/OLEVS-Business-Stainless-Waterproof-Luminous/dp/B0BK11BV64/ref=sr_1_58
N/A,90.,4.4,139,https://www.amazon.com/Emporio-Armani-AR2500-Leather-Quartz/dp/B01GZZZ378/ref=sr_1_59
N/A,N/A,3.9,"1,066",https://www.amazon.com/PYRODUM-Watches-Military-Waterproof-Smartwatch/dp/B0DL66STBM/ref=sr_1_60
